Wavelength  Distance
425.5908100065742 1493.3118450593863
426.57973226052576 1510.0001141786586
427.5732610282615 1495.6223069318246
428.5564962893279 1472.9002672372724
429.5592652091919 1522.494301648182
430.53659561062693 1565.694451931713
431.53352278707507 1538.6803429638016
432.53507753982484 1582.0978232960385
433.52601156069363 1534.5077791885935
434.5061466723188 1573.936641172594
435.50614311510816 1573.1470021099715
436.49526242946877 1554.9656608233397
437.48888493686644 1628.4384848842178
438.48704146019753 1639.0752296171213
439.4740603115621 1663.0240752207396
440.46553267681287 1608.5689125574672
441.4614887660613 1608.2177740498387
442.44604316546764 1642.683761189175
443.43499891845124 1708.386969590507
444.4283856048562 1669.7573514124026
445.42623307018175 1632.3548614523556
446.4123688890502 1691.3884731674077
447.40288083806195 1676.797292162061
