x	low_nr	mid_nr	high_nr	low_er	mid_er	high_er
18.662207357859533	3.095572374030096	3.2348114080187447	3.3658498524767544	3.3364871014736948	3.4649257515773866	3.59587326163806
18.96321070234114	3.1003436331829115	3.238686196343013	3.3688988167928318	3.3401288411157384	3.4686737665748475	3.5997711299977895
19.264214046822744	3.1050240462462972	3.242488717553605	3.3718935446242972	3.343731259879019	3.472381663660219	3.603629345633717
19.565217391304348	3.1096163132871437	3.2462210682160197	3.374835532894194	3.3472952337930972	3.4760502001543463	3.607448487848988
19.866220735785955	3.1141230284225485	3.2498852645736194	3.377726223941117	3.3508216130566204	3.479680114435628	3.6112291247170605
20.16722408026756	3.1185466849661267	3.2534832463576935	3.380567007984726	3.354311222982432	3.4832721265285875	3.6149718133524997
20.468227424749166	3.122889680277242	3.257016880382685	3.3833592254588183	3.357764864901482	3.486826938670623	3.618677100173972
20.76923076923077	3.1271543203329735	3.2604879639405837	3.386104169220185	3.361183317027626	3.490345235857895	3.6223455211597066
21.070234113712377	3.1313428240411416	3.263898228007445	3.388803086640906	3.3645673352852716	3.4938276863712288	3.6259776020956656
21.37123745819398	3.135457327311337	3.267249340274069	3.3914571815911843	3.367917654101713	3.497274942282883	3.6295738588166686
21.67224080267559	3.139499886899654	3.2705429080119734	3.3940676163193575	3.3712349871659137	3.5006876399449935	3.633134797440711
21.973244147157192	3.143472484041664	3.2737804807850224	3.396635513235245	3.3745200281553696	3.5040664004604625	3.636660914596681
22.274247491638796	3.1473770278871167	3.276963553016311	3.3991619566025797	3.377773451432616	3.507411830137017	3.640152697645715
22.575250836120404	3.1512153587488725	3.280093566419249	3.401647994145892	3.3809959127128453	3.5107245209251445	3.6436106248963753
22.876254180602007	3.154989251177694	3.2831719123011474	3.4040946385768445	3.3841880497040204	3.514005050840561	3.647035165813865
23.177257525083615	3.158700416873679	3.2861999337470427	3.4065028690446884	3.387350482720805	3.51725398437185	3.6504267812234676
