time weight xerror yerror
407.2 21.0 0.8 4.58257569495584
408.8 11.0 0.8 3.3166247903554
410.4 15.0 0.8 3.8729833462074175
412.0 15.0 0.8 3.8729833462074175
413.6 15.0 0.8 3.872983346207417
415.2 22.0 0.8 4.69041575982343
416.8 13.0 0.8 3.605551275463989
418.4 18.0 0.8 4.242640687119285
420.0 13.0 0.8 3.6055512754639896
421.6 18.0 0.8 4.242640687119286
423.2 13.0 0.8 3.605551275463989
424.8 20.0 0.8 4.47213595499958
426.4 17.0 0.8 4.123105625617661
428.0 19.0 0.8 4.358898943540674
429.6 16.0 0.8 3.9999999999999996
431.2 13.0 0.8 3.6055512754639896
432.8 13.0 0.8 3.605551275463989
434.4 19.0 0.8 4.358898943540674
436.0 19.0 0.8 4.358898943540674
437.6 18.0 0.8 4.242640687119285
439.2 13.0 0.8 3.6055512754639896
440.8 13.0 0.8 3.6055512754639896
442.4 12.0 0.8 3.464101615137755
444.0 18.0 0.8 4.242640687119286
445.6 23.0 0.8 4.795831523312719
447.2 13.0 0.8 3.6055512754639896
448.8 17.0 0.8 4.123105625617661
450.4 13.0 0.8 3.605551275463989
452.0 10.0 0.8 3.1622776601683795
453.6 5.0 0.8 2.23606797749979
455.2 11.0 0.8 3.3166247903554
456.8 9.0 0.8 3.0
458.4 9.0 0.8 3.0
460.0 8.0 0.8 2.8284271247461903
461.6 8.0 0.8 2.8284271247461903
463.2 8.0 0.8 2.8284271247461903
464.8 7.0 0.8 2.6457513110645907
466.4 5.0 0.8 2.23606797749979
468.0 11.0 0.8 3.3166247903554
469.6 8.0 0.8 2.8284271247461903
471.2 17.0 0.8 4.123105625617661
472.8 15.0 0.8 3.8729833462074175
474.4 7.0 0.8 2.6457513110645907
476.0 10.0 0.8 3.1622776601683795
477.6 7.0 0.8 2.6457513110645907
479.2 12.0 0.8 3.464101615137755
480.8 13.0 0.8 3.605551275463989
482.4 7.0 0.8 2.6457513110645907
484.0 8.0 0.8 2.8284271247461903
485.6 11.0 0.8 3.3166247903554
487.2 4.0 0.8 2.0
488.8 10.0 0.8 3.1622776601683795
490.4 7.0 0.8 2.6457513110645907
492.0 9.0 0.8 3.0
493.6 5.0 0.8 2.23606797749979
495.2 4.0 0.8 2.0
496.8 10.0 0.8 3.1622776601683795
498.4 7.0 0.8 2.6457513110645907
500.0 10.0 0.8 3.1622776601683795
501.6 11.0 0.8 3.3166247903554
503.2 6.0 0.8 2.449489742783178
504.8 10.0 0.8 3.1622776601683795
506.4 11.0 0.8 3.3166247903554
508.0 5.0 0.8 2.23606797749979
509.6 4.0 0.8 2.0
511.2 7.0 0.8 2.6457513110645907
512.8 4.0 0.8 2.0
514.4 7.0 0.8 2.6457513110645907
516.0 7.0 0.8 2.6457513110645907
517.6 13.0 0.8 3.6055512754639896
519.2 9.0 0.8 3.0000000000000004
520.8 6.0 0.8 2.4494897427831783
522.4 3.0 0.8 1.7320508075688774
524.0 11.0 0.8 3.3166247903554003
525.6 7.0 0.8 2.6457513110645907
527.2 18.0 0.8 4.242640687119285
528.8 11.0 0.8 3.3166247903554
530.4 8.0 0.8 2.8284271247461903
532.0 6.0 0.8 2.449489742783178
533.6 4.0 0.8 1.9999999999999998
535.2 6.0 0.8 2.449489742783178
536.8 13.0 0.8 3.6055512754639896
538.4 3.0 0.8 1.7320508075688774
540.0 5.0 0.8 2.23606797749979
541.6 9.0 0.8 3.0
543.2 7.0 0.8 2.6457513110645907
544.8 9.0 0.8 3.0000000000000004
546.4 4.0 0.8 1.9999999999999998
548.0 6.0 0.8 2.449489742783178
549.6 7.0 0.8 2.6457513110645907
551.2 7.0 0.8 2.6457513110645907
552.8 3.0 0.8 1.7320508075688774
554.4 5.0 0.8 2.23606797749979
556.0 8.0 0.8 2.8284271247461903
557.6 3.0 0.8 1.7320508075688774
559.2 3.0 0.8 1.7320508075688774
560.8 5.0 0.8 2.23606797749979
562.4 4.0 0.8 1.9999999999999998
564.0 4.0 0.8 2.0
565.6 4.0 0.8 2.0
567.2 7.0 0.8 2.6457513110645903
568.8 7.0 0.8 2.6457513110645907
570.4 4.0 0.8 2.0
572.0 7.0 0.8 2.6457513110645907
573.6 8.0 0.8 2.8284271247461903
575.2 1.0 0.8 1.0
576.8 3.0 0.8 1.7320508075688772
578.4 3.0 0.8 1.7320508075688774
580.0 7.0 0.8 2.6457513110645907
581.6 4.0 0.8 2.0
583.2 7.0 0.8 2.6457513110645907
584.8 5.0 0.8 2.23606797749979
586.4 4.0 0.8 2.0
588.0 1.0 0.8 1.0
589.6 5.0 0.8 2.23606797749979
591.2 11.0 0.8 3.3166247903554003
592.8 3.0 0.8 1.7320508075688772
594.4 2.0 0.8 1.4142135623730951
596.0 12.0 0.8 3.4641016151377544
597.6 4.0 0.8 2.0
599.2 8.0 0.8 2.8284271247461903
600.8 4.0 0.8 1.9999999999999998
602.4 4.0 0.8 1.9999999999999998
604.0 2.0 0.8 1.4142135623730951
605.6 3.0 0.8 1.7320508075688774
607.2 4.0 0.8 2.0
608.8 6.0 0.8 2.449489742783178
610.4 3.0 0.8 1.7320508075688774
612.0 4.0 0.8 2.0
613.6 1.0 0.8 1.0
615.2 4.0 0.8 1.9999999999999998
616.8 4.0 0.8 2.0
618.4 4.0 0.8 2.0
620.0 4.0 0.8 2.0
621.6 7.0 0.8 2.6457513110645907
623.2 3.0 0.8 1.7320508075688774
624.8 1.0 0.8 1.0
626.4 5.0 0.8 2.23606797749979
628.0 3.0 0.8 1.7320508075688772
629.6 4.0 0.8 2.0
631.2 3.0 0.8 1.7320508075688774
632.8 5.0 0.8 2.23606797749979
634.4 3.0 0.8 1.7320508075688772
636.0 4.0 0.8 2.0
637.6 3.0 0.8 1.7320508075688774
639.2 2.0 0.8 1.4142135623730951
640.8 8.0 0.8 2.8284271247461903
642.4 6.0 0.8 2.449489742783178
644.0 2.0 0.8 1.4142135623730951
645.6 4.0 0.8 2.0
647.2 3.0 0.8 1.7320508075688774
648.8 4.0 0.8 2.0
650.4 2.0 0.8 1.4142135623730951
652.0 4.0 0.8 1.9999999999999998
653.6 4.0 0.8 1.9999999999999998
655.2 3.0 0.8 1.7320508075688774
656.8 3.0 0.8 1.7320508075688774
658.4 3.0 0.8 1.7320508075688774
660.0 2.0 0.8 1.4142135623730951
661.6 0.0 0.8 0.0
663.2 3.0 0.8 1.7320508075688774
664.8 3.0 0.8 1.7320508075688772
666.4 8.0 0.8 2.8284271247461903
668.0 3.0 0.8 1.7320508075688772
669.6 4.0 0.8 2.0
671.2 6.0 0.8 2.4494897427831783
672.8 4.0 0.8 2.0
674.4 6.0 0.8 2.449489742783178
676.0 6.0 0.8 2.449489742783178
677.6 3.0 0.8 1.7320508075688774
679.2 0.0 0.8 0.0
680.8 4.0 0.8 2.0
682.4 4.0 0.8 2.0
684.0 1.0 0.8 1.0
685.6 4.0 0.8 1.9999999999999998
687.2 3.0 0.8 1.7320508075688774
688.8 4.0 0.8 2.0
690.4 4.0 0.8 2.0
692.0 1.0 0.8 1.0
693.6 8.0 0.8 2.8284271247461903
695.2 5.0 0.8 2.23606797749979
696.8 1.0 0.8 1.0
698.4 4.0 0.8 2.0
700.0 4.0 0.8 2.0
701.6 2.0 0.8 1.4142135623730951
703.2 2.0 0.8 1.4142135623730951
704.8 1.0 0.8 1.0
706.4 2.0 0.8 1.4142135623730951
708.0 2.0 0.8 1.4142135623730951
709.6 1.0 0.8 1.0
711.2 2.0 0.8 1.4142135623730951
712.8 0.0 0.8 0.0
714.4 2.0 0.8 1.4142135623730951
716.0 8.0 0.8 2.8284271247461903
717.6 2.0 0.8 1.4142135623730951
719.2 2.0 0.8 1.4142135623730951
720.8 1.0 0.8 1.0
722.4 3.0 0.8 1.7320508075688774
724.0 7.0 0.8 2.6457513110645907
725.6 1.0 0.8 1.0
727.2 2.0 0.8 1.4142135623730951
728.8 2.0 0.8 1.4142135623730951
730.4 5.0 0.8 2.23606797749979
